FileName,SubjectID,Class,Task,Split
0_5154007008_h_00,515,Sober,address,train
0_5074005004_h_00,507,Sober,address,train
0_0122031019_h_00,12,Sober,address,train
0_5764052013_h_00,576,Sober,address,train
0_5063007013_h_00,506,Sober,address,train
0_0362024037_h_00,36,Sober,address,train
0_5334021008_h_00,533,Sober,address,train
0_0122031017_h_00,12,Sober,address,train
1_0501051013_h_00,50,Intoxicated,address,train
0_5364044019_h_00,536,Sober,address,train
0_5364044028_h_00,536,Sober,address,train
0_0821083019_h_00,82,Sober,address,train
1_5363037030_h_00,536,Intoxicated,address,train
0_0472044028_h_00,47,Sober,address,train
1_0631064013_h_00,63,Intoxicated,address,train
0_0362024033_h_00,36,Sober,address,train
0_0862083039_h_00,86,Sober,address,train
0_0991100013_h_00,99,Sober,address,train
2_5603061008_h_00,560,Intoxicated,address,train
1_0121012004_h_00,12,Intoxicated,address,train
0_5264027037_h_00,526,Sober,address,train
0_0432062019_h_00,43,Sober,address,train
2_0391040004_h_00,39,Intoxicated,address,train
0_5214015033_h_00,521,Sober,address,train
0_5064006060_h_01,506,Sober,address,train
0_5944079024_h_00,594,Sober,address,train
0_0952080033_h_00,95,Sober,address,train
2_5903091019_h_00,590,Intoxicated,address,train
3_0951096004_h_00,95,Intoxicated,address,train
0_5174013028_h_00,517,Sober,address,train
0_5474039019_h_00,547,Sober,address,train
0_0302025013_h_00,30,Sober,address,train
0_0992084017_h_00,99,Sober,address,train
0_0112005039_h_00,11,Sober,address,train
2_5783079008_h_00,578,Intoxicated,address,train
0_5474039039_h_00,547,Sober,address,train
0_5063007008_h_00,506,Sober,address,train
3_0461047004_h_00,46,Intoxicated,address,train
0_5334021039_h_00,533,Sober,address,train
0_5814069033_h_00,581,Sober,address,train
0_5364044039_h_00,536,Sober,address,train
2_5233024008_h_00,523,Intoxicated,address,train
0_0702064060_h_00,70,Sober,address,train
1_0631064019_h_00,63,Intoxicated,address,train
0_0222018037_h_00,22,Sober,address,train
2_5233024017_h_00,523,Intoxicated,address,train
1_5183019030_h_00,518,Intoxicated,address,train
0_0432062033_h_00,43,Sober,address,train
0_0402034004_h_00,40,Sober,address,train
2_5723073013_h_00,572,Intoxicated,address,train
0_0632065039_h_00,63,Sober,address,train
0_5844070037_h_00,584,Sober,address,train
0_5724061004_h_00,572,Sober,address,train
0_0952080028_h_00,95,Sober,address,train
0_5154007024_h_00,515,Sober,address,train
0_5684067037_h_00,568,Sober,address,train
0_0692070008_h_00,69,Sober,address,train
2_5153016017_h_00,515,Intoxicated,address,train
0_5264027033_h_00,526,Sober,address,train
0_5654049004_h_00,565,Sober,address,train
0_5304022033_h_00,530,Sober,address,train
0_5224014033_h_00,522,Sober,address,train
0_5813082017_h_00,581,Sober,address,train
0_0241025013_h_00,24,Sober,address,train
0_5894077060_h_00,589,Sober,address,train
0_0152033004_h_00,15,Sober,address,train
1_5453047004_h_00,545,Intoxicated,address,train
0_5184024060_h_00,518,Sober,address,train
1_5453047008_h_00,545,Intoxicated,address,train
0_5304022028_h_00,530,Sober,address,train
0_0862083033_h_00,86,Sober,address,train
0_5574063013_h_00,557,Sober,address,train
0_5894077013_h_00,589,Sober,address,train
0_0632065019_h_00,63,Sober,address,train
0_0782059037_h_00,78,Sober,address,train
0_5814069008_h_00,581,Sober,address,train
2_5233024030_h_00,523,Intoxicated,address,train
0_0432062004_h_00,43,Sober,address,train
0_5424030004_h_00,542,Sober,address,train
1_5953096017_h_00,595,Intoxicated,address,train
0_0542046008_h_00,54,Sober,address,train
0_5554046033_h_00,555,Sober,address,train
0_0902074060_h_01,90,Sober,address,train
0_0632065008_h_00,63,Sober,address,train
0_0152033024_h_00,15,Sober,address,train
0_0821083013_h_00,82,Sober,address,train
0_5234023028_h_00,523,Sober,address,train
3_5423043017_h_00,542,Intoxicated,address,train
0_5894077008_h_00,589,Sober,address,train
0_0252013017_h_00,25,Sober,address,train
0_0692070004_h_00,69,Sober,address,train
1_0501051004_h_00,50,Intoxicated,address,train
